tf,regulon,regulon_q_adnc,beta_adnc_unadj,p_adnc_unadj,beta_adnc_adj,p_adnc_adj,mean_expr,q_adnc,direction
FLI1,FLI1_direct_+/+_(291g),0.028647057922348253,0.596610685181333,0.002303785128107785,0.6285063009320392,0.001829179806808145,1.6128598422741365,0.020120977874889596,up
ZBTB16,ZBTB16_direct_+/+_(15g),0.028647057922348253,0.8946916389452978,0.04859074222250701,1.0688103425712274,0.005484190331768092,1.0344008101519786,0.022116486618666085,up
FOXO3,FOXO3_direct_+/-_(1443g),0.028647057922348253,0.5493865854054445,0.012504462418980839,0.583762604838164,0.0072615949096285,1.1473383138925177,0.022116486618666085,up
ZNF207,ZNF207_direct_+/-_(764g),0.044110571806771234,0.3400095127580251,0.001235055821035578,0.2704665237417281,0.008042358770424031,0.8514073867895264,0.022116486618666085,up
ELF2,ELF2_direct_+/-_(1795g),0.04276227630111354,0.5928617154998098,0.002840869736868923,0.5304320775407153,0.010068808617279297,1.0708163266236903,0.022151378958014455,up
ATF3,ATF3_direct_+/+_(12g),0.03964006263776411,-0.2367384757414978,0.03221124707157384,-0.22197191575735462,0.07117818511359111,0.05782772999762693,0.13049333937491706,down
ZBTB20,ZBTB20_direct_+/-_(772g),0.03371892373802493,0.8080475141605691,0.04002509028051752,0.680597382126637,0.08380255314801528,1.948371468474985,0.1316897263754526,up
FOS,FOS_direct_+/+_(9g),0.04276227630111354,-0.1724170040283559,0.17784165027812981,-0.20801890374730775,0.10211600999109602,0.19821966601509114,0.140409513737757,down
ELF1,ELF1_direct_+/+_(271g),0.04276227630111354,0.25719338512028994,0.07496370139781026,0.11234375666819459,0.3812380565598774,1.3739593405466286,0.4659576246842946,up
CEBPD,CEBPD_direct_+/+_(7g),0.03753794421478922,-0.1392463939853731,0.68696815297917,-0.26186229091924235,0.4487800849318705,0.7636434684854896,0.49365809342505756,down
MEF2C,MEF2C_direct_+/-_(602g),0.04276227630111354,0.08903611302643667,0.7307969536599012,-0.004107071898071051,0.9873818779511773,2.5666458742749487,0.9873818779511773,down
